starting tina
1397376574.941723 [Tina] Yummy!!!
1397376576.942415 [Tina] Yummy!!!
1397376578.943017 [Tina] Yummy!!!
1397376586.943575 [Tina] Yummy!!!
1397376591.944174 [Tina] Yummy!!!
1397376592.944710 [Tina] Yummy!!!
1397376597.945388 [Tina] Yummy!!!
1397376600.946034 [Tina] Yummy!!!
1397376602.946691 [Tina] Yummy!!!
1397376606.947356 [Tina] Yummy!!!
1397376606.947750 [Tina] Yummy!!!
1397376611.948309 [Tina] Yummy!!!
1397376611.948776 [Tina] Yummy!!!
1397376614.949368 [Tina] Yummy!!!
1397376614.949722 [Tina] Yummy!!!
